group	config	MF	BP	CC	mean_fw
standalone	diam	0.323	0.348	0.496	0.3890
standalone	foldseek	0.339	0.314	0.442	0.3650
standalone	clean	0.020	0.047	0.000	0.0223
standalone	interpro	0.243	0.206	0.061	0.1700
standalone	mlp	0.466	0.323	0.557	0.4487
standalone	prostt5	0.466	0.278	0.562	0.4353
standalone	net	0.803	0.251	0.370	0.4747
standalone	lit	0.540	0.287	0.507	0.4447
standalone	esm2_3b	0.422	0.318	0.547	0.4290
standalone	interpro_lr	0.099	0.287	0.335	0.2403
loo	full-7 (6+net)	0.667	0.357	0.572	0.5320
loo	-diam	0.664	0.351	0.577	0.5307
loo	-foldseek	0.669	0.358	0.572	0.5330
loo	-clean	0.666	0.366	0.572	0.5347
loo	-interpro	0.663	0.350	0.569	0.5273
loo	-mlp	0.678	0.349	0.577	0.5347
loo	-prostt5	0.711	0.387	0.536	0.5447
loo	-net	0.518	0.351	0.581	0.4833
cumulative	mlp	0.466	0.323	0.557	0.4487
cumulative	mlp+prostt5	0.503	0.325	0.581	0.4697
cumulative	mlp+prostt5+diam	0.506	0.345	0.589	0.4800
cumulative	mlp+prostt5+diam+foldseek	0.516	0.347	0.585	0.4827
cumulative	mlp+prostt5+diam+foldseek+interpro	0.515	0.357	0.581	0.4843
cumulative	mlp+prostt5+diam+foldseek+interpro+clean	0.518	0.352	0.581	0.4837
cumulative	mlp+prostt5+diam+foldseek+interpro+clean+net	0.667	0.357	0.572	0.5320
aggregator	logreg / scores (shipped)	0.518	0.351	0.581	0.4833
aggregator	xgb / scores (leak-free GBT)	0.600	0.328	0.505	0.4777
aggregator	logreg / +IA+freq	0.575	0.351	0.581	0.5023
aggregator	xgb / +IA+freq (LEAK)	0.963	0.339	0.582	0.6280
