# Essential functions for bacteria (derived from Syn1.0 minimal genome)
# Source: Hoehndorf et al., "Evaluating Completeness, Coherence, and Consistency of Genome-Scale Function Annotations"
# Format: GO_term	category	description
GO:0006259	Core	DNA metabolic process
GO:0006260	Core	DNA replication
GO:0006281	Core	DNA repair
GO:0006351	Core	DNA-templated transcription
GO:0006412	Core	translation
GO:0051301	Core	cell division
GO:0007059	Core	chromosome segregation
GO:0042254	Core	ribosome biogenesis
GO:0006457	Core	protein folding
GO:0015031	Core	protein transport
GO:0016070	Core	RNA metabolic process
GO:0000154	Core	rRNA modification
GO:0006400	Core	tRNA modification
GO:0032774	Core	RNA biosynthetic process
GO:0006508	Core	proteolysis
GO:0008152	Core	metabolic process
GO:0055085	Core	transmembrane transport
GO:0006629	Core	lipid metabolic process
GO:0015849	Core	organic acid transport
GO:0016054	Core	organic acid catabolic process
GO:0045454	Core	cell redox homeostasis
GO:0050789	Core	regulation of biological process
GO:0006096	Glucose Metabolism	glycolytic process
GO:1904659	Glucose Metabolism	glucose transmembrane transport
GO:0032196	Environmental Adaptation	transposition
GO:0071103	Environmental Adaptation	DNA conformation change
GO:0042157	Environmental Adaptation	lipoprotein metabolic process
GO:0090482	Nutrient Uptake	vitamin transmembrane transporter activity
GO:0046464	Nutrient Uptake	acylglycerol catabolic process
GO:0043173	Nutrient Uptake	nucleotide salvage
GO:0009307	Defense	DNA restriction-modification system
GO:0140115	Defense	export across plasma membrane
