# Essential functions for eukaryotes (derived from S. cerevisiae essential gene set)
# Format: GO_term	category	description
GO:0006259	Core	DNA metabolic process
GO:0006260	Core	DNA replication
GO:0006281	Core	DNA repair
GO:0006351	Core	DNA-templated transcription
GO:0006412	Core	translation
GO:0007049	Core	cell cycle
GO:0000278	Core	mitotic cell cycle
GO:0007059	Core	chromosome segregation
GO:0042254	Core	ribosome biogenesis
GO:0006457	Core	protein folding
GO:0015031	Core	protein transport
GO:0016070	Core	RNA metabolic process
GO:0000154	Core	rRNA modification
GO:0006400	Core	tRNA modification
GO:0032774	Core	RNA biosynthetic process
GO:0006508	Core	proteolysis
GO:0008152	Core	metabolic process
GO:0055085	Core	transmembrane transport
GO:0006629	Core	lipid metabolic process
GO:0045454	Core	cell redox homeostasis
GO:0050789	Core	regulation of biological process
GO:0008380	Eukaryote-specific	RNA splicing
GO:0006606	Eukaryote-specific	protein import into nucleus
GO:0006913	Eukaryote-specific	nucleocytoplasmic transport
GO:0016192	Eukaryote-specific	vesicle-mediated transport
GO:0006914	Eukaryote-specific	autophagy
GO:0006888	Eukaryote-specific	endoplasmic reticulum to Golgi vesicle-mediated transport
GO:0007005	Eukaryote-specific	mitochondrion organization
GO:0006119	Eukaryote-specific	oxidative phosphorylation
GO:0006096	Energy Metabolism	glycolytic process
GO:0006099	Energy Metabolism	tricarboxylic acid cycle
GO:0006098	Energy Metabolism	pentose-phosphate shunt
