Term	Relationship	Parent/Disjoint_From_Term
NCBITaxon_10239	is_a	NCBITaxon_Union_0000030
NCBITaxon_1117	is_a	NCBITaxon_Union_0000002
NCBITaxon_131567	is_a	NCBITaxon_Union_0000030
NCBITaxon_2	is_a	NCBITaxon_Union_0000020
NCBITaxon_2	is_a	NCBITaxon_Union_0000004
NCBITaxon_2	is_a	NCBITaxon_Union_0000000
NCBITaxon_2157	is_a	NCBITaxon_Union_0000025
NCBITaxon_2157	is_a	NCBITaxon_Union_0000004
NCBITaxon_2759	is_a	NCBITaxon_Union_0000025
NCBITaxon_3027	is_a	NCBITaxon_Union_0000031
NCBITaxon_33090	is_a	NCBITaxon_Union_0000002
NCBITaxon_33090	is_a	NCBITaxon_Union_0000008
NCBITaxon_33154	is_a	NCBITaxon_Union_0000024
NCBITaxon_33634	is_a	NCBITaxon_Union_0000031
NCBITaxon_33682	is_a	NCBITaxon_Union_0000008
NCBITaxon_4751	is_a	NCBITaxon_Union_0000022
NCBITaxon_4751	is_a	NCBITaxon_Union_0000020
NCBITaxon_554915	is_a	NCBITaxon_Union_0000024
NCBITaxon_5782	is_a	NCBITaxon_Union_0000022
NCBITaxon_7746	is_a	NCBITaxon_Union_0000003
NCBITaxon_7762	is_a	NCBITaxon_Union_0000003
NCBITaxon_Union_0000000	is_a	NCBITaxon_Union_0000007
NCBITaxon_Union_0000000	is_a	NCBITaxon_Union_0000006
NCBITaxon_Union_0000002	is_a	NCBITaxon_Union_0000000
NCBITaxon_Union_0000003	is_a	NCBITaxon_1476529
NCBITaxon_Union_0000004	is_a	NCBITaxon_Union_0000006
NCBITaxon_Union_0000004	is_a	NCBITaxon_Union_0000023
NCBITaxon_Union_0000006	is_a	NCBITaxon_Union_0000021
NCBITaxon_Union_0000007	is_a	NCBITaxon_Union_0000021
NCBITaxon_Union_0000008	is_a	NCBITaxon_Union_0000007
NCBITaxon_Union_0000008	is_a	NCBITaxon_2759
NCBITaxon_Union_0000020	is_a	NCBITaxon_Union_0000023
NCBITaxon_Union_0000021	is_a	NCBITaxon_131567
NCBITaxon_Union_0000022	is_a	NCBITaxon_Union_0000024
NCBITaxon_Union_0000023	is_a	NCBITaxon_131567
NCBITaxon_Union_0000024	is_a	NCBITaxon_2759
NCBITaxon_Union_0000025	is_a	NCBITaxon_131567
NCBITaxon_Union_0000030	is_a	NCBITaxon_1
NCBITaxon_Union_0000031	is_a	NCBITaxon_2759
NCBITaxon_1224	disjoint_from	NCBITaxon_Union_0000002
NCBITaxon_1239	disjoint_from	NCBITaxon_Union_0000002
