Taxon_ID	Label
NCBITaxon_1	root
NCBITaxon_2	Bacteria
NCBITaxon_1117	Cyanobacteriota
NCBITaxon_1224	Pseudomonadota
NCBITaxon_1239	Bacillota
NCBITaxon_1297	Deinococcota
NCBITaxon_2157	Archaea
NCBITaxon_2759	Eukaryota
NCBITaxon_2864	Dinophyceae
NCBITaxon_3027	Cryptophyceae
NCBITaxon_3176	Zygnematales
NCBITaxon_3193	Embryophyta
NCBITaxon_3378	Gnetales
NCBITaxon_3398	Magnoliopsida
NCBITaxon_4751	Fungi
NCBITaxon_4762	Oomycota
NCBITaxon_4890	Ascomycota
NCBITaxon_4891	Saccharomycetes
NCBITaxon_4895	Schizosaccharomyces
NCBITaxon_4896	Schizosaccharomyces pombe
NCBITaxon_4899	Schizosaccharomyces octosporus
NCBITaxon_4930	Saccharomyces
NCBITaxon_4932	Saccharomyces cerevisiae
NCBITaxon_4952	Yarrowia lipolytica
NCBITaxon_5653	Kinetoplastea
NCBITaxon_5654	Trypanosomatidae
NCBITaxon_5690	Trypanosoma
NCBITaxon_5738	Diplomonadida
NCBITaxon_5740	Giardia
NCBITaxon_5782	Dictyostelium
NCBITaxon_5794	Apicomplexa
NCBITaxon_5820	Plasmodium
NCBITaxon_5878	Ciliophora
NCBITaxon_6072	Eumetazoa
NCBITaxon_6073	Cnidaria
NCBITaxon_6231	Nematoda
NCBITaxon_6656	Arthropoda
NCBITaxon_7147	Diptera
NCBITaxon_7203	Brachycera
NCBITaxon_7215	Drosophila
NCBITaxon_7711	Chordata
NCBITaxon_7742	Vertebrata
NCBITaxon_7746	Petromyzontidae
NCBITaxon_7762	Myxinidae
NCBITaxon_7776	Gnathostomata
NCBITaxon_7898	Actinopterygii
NCBITaxon_8457	Sauropsida
NCBITaxon_8782	Aves
NCBITaxon_9347	Eutheria
NCBITaxon_9443	Primates
NCBITaxon_9606	Homo sapiens
NCBITaxon_9989	Rodentia
NCBITaxon_10090	Mus musculus
NCBITaxon_10239	Viruses
NCBITaxon_27896	Planariidae
NCBITaxon_28009	Choanoflagellata
NCBITaxon_29547	Epsilonproteobacteria
NCBITaxon_32066	Fusobacteriota
NCBITaxon_32443	Teleostei
NCBITaxon_32523	Tetrapoda
NCBITaxon_32524	Amniota
NCBITaxon_32525	Theria
NCBITaxon_33083	Dictyostelia
NCBITaxon_33090	Viridiplantae
NCBITaxon_33154	Opisthokonta
NCBITaxon_33208	Metazoa
NCBITaxon_33213	Bilateria
NCBITaxon_33317	Protostomia
NCBITaxon_33392	Endopterygota
NCBITaxon_33511	Deuterostomia
NCBITaxon_33630	Alveolata
NCBITaxon_33634	Stramenopiles
NCBITaxon_33682	Euglenozoa
NCBITaxon_35493	Streptophyta
NCBITaxon_38254	Glaucocystophyceae
NCBITaxon_40117	Nitrospirota
NCBITaxon_40674	Mammalia
NCBITaxon_47570	Schizotrypanum
NCBITaxon_50557	Insecta
NCBITaxon_58022	Gnetophyta
NCBITaxon_58024	Spermatophyta
NCBITaxon_68297	Dictyoglomi
NCBITaxon_71193	Elateroidea
NCBITaxon_89593	Craniata
NCBITaxon_131567	cellular organisms
NCBITaxon_147537	Saccharomycotina
NCBITaxon_147554	Schizosaccharomycetes
NCBITaxon_200783	Aquificota
NCBITaxon_200795	Chloroflexota
NCBITaxon_200918	Thermotogota
NCBITaxon_200940	Thermodesulfobacteria
NCBITaxon_201174	Actinomycetota
NCBITaxon_203691	Spirochaetota
NCBITaxon_241407	Saccharomycetales incertae sedis
NCBITaxon_451864	Dikarya
NCBITaxon_451866	Taphrinomycotina
NCBITaxon_544448	Mycoplasmatota
NCBITaxon_554915	Amoebozoa
NCBITaxon_555406	Archamoebae
NCBITaxon_716545	saccharomyceta
NCBITaxon_1476529	Cyclostomata
NCBITaxon_1783257	PVC group
NCBITaxon_1783270	FCB group
NCBITaxon_2611341	Metamonada
NCBITaxon_2611352	Discoba
NCBITaxon_2698737	Sar
